1068,5234,21,wcIDTB,ID,RadTextBox,ID,ID,1,ID is required,1,NULL,0,NULL,NULL,,2,1,InternalNo
1069,5234,21,wcTitleTB,Hazard Title,RadTextBox,Title,Hazard Title,1,Hazard Title is required,1,NULL,0,NULL,NULL,,3,1,TitleDesc
1070,5234,21,wcDescTB,Description,RadTextBox,Desc,Description,1,Description is required,0,NULL,0,NULL,NULL,,4,1,ExtDesc
1071,5234,21,wcRegRecTypeCombo,Hazard Report Type,RadComboBox,Type,Hazard Report Type,1,Hazard Report Type is required,0,NULL,0,NULL,NULL,,5,1,OthTypeID
1072,5234,21,wcRegRecSubTypeCombo,Hazard Report Sub-Type,RadComboBox,SubType,Hazard Report Sub-Type,1,Hazard Report Sub-Type is required,0,NULL,0,NULL,NULL,,6,1,OthSubTypeID
1073,5234,21,wcStartDtPkr,Date,RadDateTimePicker,StartDt,Date,1,Date is required,0,NULL,0,NULL,NULL,,7,1,StartDt
1775,5234,21,wcReportedByCmb,Reported By,RadComboBox,ReportedBy,Reported By,1,Reported By is required,0,NULL,0,NULL,NULL,,8,1,SDS
1900,5234,21,,Audited By,API,ReportedByEmpID,Reported By Employee ID,1,NULL,0,NULL,0,NULL,NULL,,9,1,Mixing
1074,5234,21,wcContractorCompanyCMB,Contractor,RadComboBox,Contractor,Contractor,1,Contractor is required,0,NULL,0,NULL,NULL,,9,1,Contractor
1112,5234,21,wcProjectCmb,Project,RadComboBox,Project,Project,1,Project is required,0,NULL,0,NULL,NULL,,10,1,Project
1075,5234,21,wcLocationIDRadCombo,Location,RadComboBox,LocType,Location,1,Location is required,0,NULL,0,NULL,NULL,,11,1,LocationName
1076,5234,21,wcLocationTB,Location Address,RadTextBox,LocAddr,Location Address,1,Location Address is required,0,NULL,0,NULL,NULL,,12,1,LocationAddr
1077,5234,21,wcSpecificLocTB,Specific Location Details,RadTextBox,LocDet,Specific Location Details,1,Specific location is required,0,NULL,0,NULL,NULL,,13,1,LocationDet
1078,5234,21,wcEmpDivisionCmb,Division,RadComboBox,Division,Division,1,Division is required,0,NULL,0,NULL,NULL,,14,1,Division
